user,movieID,userRating,IMDBrating
50481572,tt1234721,8,6.2
40702508,tt0099674,8,7.6
40702508,tt0134084,8,5.5
40702508,tt0120903,8,7.4
40702508,tt0111161,9,9.3
40702508,tt0468569,8,9.0
40702508,tt0376994,7,6.8
40702508,tt0120737,8,8.8
40702508,tt0290334,9,7.5
40702508,tt0167260,9,8.9
40702508,tt0117571,8,7.2
40702508,tt0167261,7,8.7
40702508,tt0120082,7,6.1
40702508,tt0068646,10,9.2
40702508,tt0071562,10,9.0
40702508,tt0117913,10,7.4
40702508,tt2338232,10,6.7
40702508,tt1041829,10,6.7
40702508,tt0212346,10,6.1
40702508,tt0114924,10,6.6
40702508,tt0088763,10,8.5
40702508,tt0096874,10,7.8
40702508,tt0099088,10,7.4
40702508,tt0760437,10,7.0
16286318,tt2568204,10,7.9
16286318,tt0397442,1,7.4
16286318,tt2710394,1,7.6
16286318,tt1837642,3,8.0
16286318,tt1405406,1,7.9
16286318,tt0773262,1,8.8
16286318,tt2094262,10,8.1
16286318,tt0944947,10,9.5
16286318,tt3107288,7,8.2
16286318,tt2193021,7,8.0
16286318,tt0460681,1,8.6
16286318,tt2364582,6,7.5
16286318,tt1520211,1,8.6
16286318,tt2017109,10,8.4
16286318,tt2632424,9,8.4
16286318,tt1632701,7,8.7
16286318,tt1844624,1,8.3
16286318,tt1124373,8,8.6
16286318,tt3749900,10,8.0
16286318,tt2306299,10,8.6
16286318,tt2375692,10,8.2
16286318,tt3281796,10,8.0
16286318,tt0384766,10,8.9
16286318,tt0313038,1,2.9
16286318,tt0903747,10,9.5
16286318,tt1327801,1,6.7
16286318,tt1137462,10,8.3
16286318,tt1442449,10,8.6
45619583,tt2101441,8,5.3
30367343,tt1821700,10,8.5
30367343,tt2193041,4,7.2
30367343,tt0898266,7,8.4
30367343,tt0460649,9,8.4
30367343,tt0773262,10,8.8
30367343,tt1837642,8,8.0
44585023,tt0102960,6,5.7
44585023,tt0063350,8,8.0
44585023,tt0103919,7,6.5
44585023,tt0089885,7,7.3
44585023,tt0426459,7,6.4
44585023,tt0210070,7,6.8
44585023,tt0120903,6,7.4
44585023,tt1345836,9,8.5
44585023,tt0078748,9,8.5
44585023,tt0088763,7,8.5
44585023,tt0290334,6,7.5
44585023,tt1853728,9,8.5
44585023,tt0770828,9,7.2
44585023,tt0107290,7,8.1
44585023,tt1119646,9,7.8
44585023,tt0796366,8,8.0
44585023,tt0073195,9,8.0
44585023,tt0116367,8,7.3
44585023,tt0087800,8,7.5
44585023,tt0117571,7,7.2
44585023,tt0348150,3,6.1
44585023,tt0387564,8,7.7
44585023,tt0320691,9,7.0
44585023,tt0289879,7,7.7
44585023,tt0080761,7,6.5
44585023,tt0328107,7,7.7
44585023,tt0109506,8,7.6
44585023,tt0093437,7,7.2
44585023,tt0083907,8,7.6
44585023,tt0295701,6,5.8
44585023,tt0072271,10,7.5
44585023,tt0120611,8,7.1
44585023,tt0087050,6,5.6
44585023,tt0295700,7,6.1
44585023,tt0099088,7,7.4
44585023,tt0093177,8,7.0
44585023,tt0078767,8,6.2
44585023,tt0195714,7,6.7
44585023,tt0114508,7,5.8
50099563,tt2096673,10,8.3
50099563,tt2395427,10,7.5
50099563,tt0145487,7,7.3
50099563,tt1300854,10,7.3
50099563,tt2024544,9,8.1
60618876,tt2094990,9,6.0
60618876,tt1130884,8,8.1
60618876,tt0081505,9,8.4
60618876,tt0066921,8,8.4
29544876,tt0934814,10,8.2
29544876,tt0120915,10,6.5
29544876,tt0086465,8,7.5
29544876,tt0307987,9,7.1
29544876,tt1810683,10,7.4
29544876,tt1735200,5,7.0
29544876,tt0443465,8,6.9
29544876,tt3318750,4,5.6
29544876,tt0884732,4,6.7
29544876,tt2980472,7,6.4
29544876,tt3233418,8,7.3
29544876,tt3200980,7,6.5
29544876,tt2962876,7,7.1
29544876,tt1679482,2,7.7
29544876,tt0460681,10,8.6
29544876,tt0186151,10,7.3
9795157,tt1478354,10,7.8
9795157,tt0038727,9,7.3
9795157,tt0867270,10,6.0
47301603,tt0816692,10,8.6
47301603,tt1065073,10,8.0
47301603,tt0993846,8,8.2
47301603,tt1800241,7,7.3
47301603,tt0757157,10,7.4
47301603,tt1130884,10,8.1
47301603,tt1323594,10,7.7
47301603,tt0482571,10,8.5
47301603,tt0450259,10,8.0
48928802,tt1130884,10,8.1
48928802,tt1535108,10,6.6
48928802,tt0230600,10,7.6
48928802,tt0119174,9,7.8
48928802,tt0234215,10,7.2
20809341,tt1798709,9,8.0
20809341,tt3079380,8,7.1
20809341,tt3895884,7,7.1
20809341,tt1392190,9,8.1
20809341,tt0243655,9,6.7
20809341,tt0816692,10,8.6
20809341,tt1637725,8,7.0
20809341,tt1674771,8,6.6
20809341,tt1723121,7,7.0
20809341,tt0409459,9,7.6
20809341,tt0253556,7,6.2
20809341,tt1853728,10,8.5
20809341,tt0137523,8,8.9
20809341,tt0110912,8,8.9
20809341,tt0076759,9,8.7
20809341,tt0107290,10,8.1
20809341,tt0086190,8,8.4
20809341,tt0080684,10,8.8
20809341,tt1219024,10,8.2
20809341,tt1375666,9,8.8
20809341,tt1250777,9,7.7
64973358,tt0816692,9,8.6
64973358,tt1375666,9,8.8
64973358,tt0137523,8,8.9
64973358,tt0109830,9,8.8
64973358,tt0110357,9,8.5
64973358,tt0120689,9,8.5
64973358,tt0253474,10,8.5
44767061,tt0780608,4,5.8
44767061,tt1309000,5,2.1
44767061,tt0082176,10,7.6
44767061,tt0065067,8,8.6
44767061,tt0079261,4,7.6
44767061,tt0424880,10,7.3
44767061,tt0121403,8,8.6
44767061,tt0068646,2,9.2
44767061,tt0120338,10,7.7
44767061,tt0137523,10,8.9
44767061,tt0117951,10,8.2
44767061,tt0109830,10,8.8
44767061,tt0108052,10,8.9
44767061,tt1201607,10,8.1
44767061,tt0133093,9,8.7
44767061,tt0110357,3,8.5
44767061,tt0180093,10,8.4
44767061,tt0112573,8,8.4
44767061,tt0034583,10,8.6
44767061,tt0266543,10,8.1
44767061,tt0325980,10,8.1
44767061,tt0032138,7,8.1
44767061,tt0082971,9,8.5
44767061,tt0382932,9,8.0
44767061,tt0095016,1,8.2
44767061,tt0198781,5,8.1
44767061,tt1010048,10,8.0
44767061,tt0045152,6,8.3
44767061,tt1655442,3,8.0
48532348,tt0108480,10,7.1
48532348,tt0169145,10,7.9
48532348,tt1424431,10,6.9
48532348,tt2007471,10,6.8
48532348,tt0063278,10,8.2
48532348,tt0174476,10,7.5
48532348,tt0095574,10,7.1
48532348,tt1101026,10,6.9
54365912,tt0112870,10,8.3
54365912,tt0242519,10,8.6
54365912,tt3390572,10,8.3
54365912,tt2356180,9,8.3
54365912,tt0073707,10,8.5
54365912,tt2372222,10,5.5
54365912,tt0910970,8,8.4
9265510,tt0443706,10,7.7
9265510,tt1735878,10,8.1
9265510,tt2294189,10,8.3
9265510,tt1568911,9,7.2
9265510,tt1007029,10,6.4
9265510,tt0087233,10,6.5
9265510,tt0072500,10,8.8
9265510,tt0238784,10,8.0
9265510,tt0064541,10,7.8
9265510,tt0057413,8,7.2
9265510,tt0053198,10,8.1
9265510,tt0116282,10,8.2
9265510,tt1504320,10,8.0
9265510,tt0449059,10,7.9
9265510,tt0887883,8,7.0
